name,color,rarity,numberPicks,averagePick,gamesPlayed,playedPercentage,winrate
Port Razer,R,M,435,0.0,1571,62.3,50.2
Railway Brawler,G,M,5056,1.22,30618,96.4,58.0
"Gisa, the Hellraiser",B,M,4769,1.25,27287,94.2,55.5
Terror of the Peaks,R,M,4546,1.25,25138,92.7,54.3
"Bristly Bill, Spine Sower",G,M,5089,1.28,29948,93.9,58.0
"Oko, Thief of Crowns",UG,M,2819,1.3,16497,94.5,56.9
Goldvein Hydra,G,M,4921,1.31,28589,94.4,55.9
"Oko, the Ringleader",UG,M,4785,1.34,25708,90.5,54.3
Vaultborn Tyrant,G,M,3691,1.36,22036,95.1,57.9
Ornery Tumblewagg,G,R,10488,1.4,62335,95.4,57.5
Bristlebud Farmer,G,M,3890,1.45,22983,94.6,57.6
"Selvala, Eager Trailblazer",WG,M,5109,1.46,29007,92.4,56.4
Dust Animus,W,R,10422,1.47,61258,95.1,56.7
Colossal Rattlewurm,G,R,10343,1.48,59891,94.3,56.7
"The Gitrog, Ravenous Ride",BG,M,5085,1.49,28641,92.8,55.6
Sandstorm Salvager,G,M,3738,1.56,21687,93.8,57.1
Sword of Wealth and Power,C,M,2681,1.57,14557,93.8,51.4
"Bonny Pall, Clearcutter",UG,R,11113,1.58,64088,92.5,57.4
"Rakdos, the Muscle",BR,M,4906,1.58,27699,91.6,56.2
"Roxanne, Starfall Savant",RG,R,10676,1.62,61863,92.8,57.4
"Calamity, Galloping Inferno",R,R,8614,1.63,46075,90.4,53.4
Outcaster Trailblazer,G,R,9835,1.66,55929,93.4,56.1
"Geralf, the Fleshwright",U,M,4497,1.67,23675,89.2,52.9
Harvester of Misery,B,M,3689,1.67,20762,92.8,55.7
Stingerback Terror,R,R,9046,1.67,50877,93.1,55.0
Hostile Investigator,B,M,3970,1.69,23223,94.4,57.0
Final Showdown,W,M,4754,1.7,25195,86.6,56.3
Collector's Cage,W,M,4014,1.76,23278,93.2,57.7
Laughing Jasper Flint,BR,R,10164,1.81,56217,91.7,54.3
"Vadmir, New Blood",B,R,9641,1.84,53753,93.3,54.5
Lost Jitte,C,M,2600,1.84,14012,91.0,53.1
"Magda, the Hoardmaster",R,R,8217,1.84,43900,90.9,52.7
Oltec Matterweaver,W,M,3261,1.85,18160,91.7,55.3
Caustic Bronco,B,R,10427,1.9,57595,92.2,54.7
Freestrider Lookout,G,R,9490,1.92,52089,92.1,54.4
Hellspur Posse Boss,R,R,8912,1.92,48308,88.6,55.8
Morbid Opportunist,B,M,939,1.97,5210,93.8,53.6
Stoic Sphinx,U,R,9710,1.97,52534,90.0,54.7
Seraphic Steed,WG,R,10287,2.05,57416,89.7,57.6
Nexus of Becoming,C,M,3793,2.08,21542,93.9,55.2
"Bruse Tarl, Roving Rancher",WR,R,10576,2.12,57589,89.0,56.2
